DateTime,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SYMBOL
2018-04-12,6.4,6.74,6.38,6.68,6.68,1741514,0.0,1.0,CRON
2018-04-11,6.4,6.65,6.15,6.36,6.36,2035204,0.0,1.0,CRON
2018-04-10,5.68,6.5499,5.26,6.37,6.37,3594675,0.0,1.0,CRON
2018-04-09,5.7,5.8,5.5,5.57,5.57,1757953,0.0,1.0,CRON
2018-04-06,5.82,6.129,5.58,5.63,5.63,2145228,0.0,1.0,CRON
2018-04-05,5.96,6.0,5.64,5.9,5.9,2112045,0.0,1.0,CRON
2018-04-04,5.5,5.7,5.12,5.6,5.6,3688435,0.0,1.0,CRON
2018-04-03,6.31,6.48,5.6,5.6,5.6,2336468,0.0,1.0,CRON
2018-04-02,6.73,6.73,6.15,6.25,6.25,1853904,0.0,1.0,CRON
2018-03-29,6.54,6.97,6.45,6.73,6.73,1423012,0.0,1.0,CRON
2018-03-28,6.96,7.04,6.3445,6.51,6.51,2223728,0.0,1.0,CRON
2018-03-27,7.51,7.54,6.93,7.03,7.03,1530809,0.0,1.0,CRON
2018-03-26,7.55,7.65,7.38,7.46,7.46,1060165,0.0,1.0,CRON
2018-03-23,7.88,7.94,7.38,7.47,7.47,2062969,0.0,1.0,CRON
2018-03-22,7.47,7.55,7.3,7.39,7.39,3123769,0.0,1.0,CRON
2018-03-21,8.34,8.469,7.97,8.0,8.0,1624240,0.0,1.0,CRON
2018-03-20,9.08,9.08,8.09,8.19,8.19,3217516,0.0,1.0,CRON
2018-03-19,8.12,8.75,8.1,8.75,8.75,6653309,0.0,1.0,CRON
2018-03-16,8.17,8.17,7.81,7.82,7.82,2196069,0.0,1.0,CRON
2018-03-15,8.49,8.57,8.0,8.13,8.13,1950670,0.0,1.0,CRON
2018-03-14,8.62,8.63,8.251,8.4,8.4,1757345,0.0,1.0,CRON
2018-03-13,8.9,9.0588,8.55,8.63,8.63,1962831,0.0,1.0,CRON
2018-03-12,9.3,9.32,8.66,8.75,8.75,3338103,0.0,1.0,CRON
2018-03-09,9.71,9.759,9.26,9.32,9.32,2069704,0.0,1.0,CRON
2018-03-08,9.89,9.95,9.09,9.54,9.54,3232248,0.0,1.0,CRON
2018-03-07,9.83,9.94,9.55,9.81,9.81,3160328,0.0,1.0,CRON
2018-03-06,10.22,10.39,9.8,9.91,9.91,5337725,0.0,1.0,CRON
2018-03-05,9.67,10.25,9.46,9.77,9.77,6488174,0.0,1.0,CRON
2018-03-02,9.5,9.7,9.25,9.4,9.4,3325109,0.0,1.0,CRON
2018-03-01,9.18,10.05,8.52,9.69,9.69,11858755,0.0,1.0,CRON
2018-02-28,7.75,9.17,7.3348,9.17,9.17,9875396,0.0,1.0,CRON
2018-02-27,8.24,8.38,7.17,7.62,7.62,2801027,0.0,1.0,CRON
2018-02-26,7.55,7.79,7.2751,7.7602,7.7602,999385,0.0,1.0,CRON
2018-02-23,7.2,7.21,6.81,7.0113,7.0113,344594,0.0,1.0,CRON
2018-02-22,7.33,7.33,7.095,7.2023,7.2023,186211,0.0,1.0,CRON
2018-02-21,7.356,7.5,7.143,7.18,7.18,218727,0.0,1.0,CRON
2018-02-20,7.235,7.5406,7.14,7.4145,7.4145,311868,0.0,1.0,CRON
2018-02-16,7.4,7.5634,7.18,7.22,7.22,312640,0.0,1.0,CRON
2018-02-15,7.84,7.884,7.5448,7.6837,7.6837,336239,0.0,1.0,CRON
2018-02-14,7.5,8.0,7.2945,7.99,7.99,453683,0.0,1.0,CRON
2018-02-13,7.455,7.54,7.15,7.44,7.44,293113,0.0,1.0,CRON
2018-02-12,7.58,7.619,7.2932,7.3686,7.3686,363342,0.0,1.0,CRON
2018-02-09,7.51,7.64,6.97,7.34,7.34,592323,0.0,1.0,CRON
2018-02-08,7.235,7.7044,6.95,7.5442,7.5442,400430,0.0,1.0,CRON
2018-02-07,7.99,8.3749,6.9,7.231,7.231,1106167,0.0,1.0,CRON
2018-02-06,6.13,7.6,5.99,7.5212,7.5212,1196473,0.0,1.0,CRON
2018-02-05,4.817,6.7615,4.75,5.9196,5.9196,1712607,0.0,1.0,CRON
2018-02-02,6.25,6.41,5.3071,5.5128,5.5128,1598639,0.0,1.0,CRON
2018-02-01,7.3103,7.59,6.4827,6.5,6.5,788788,0.0,1.0,CRON
2018-01-31,6.826,8.0062,6.8071,7.353,7.353,697833,0.0,1.0,CRON
2018-01-30,7.25,7.47,6.5,6.819,6.819,1119703,0.0,1.0,CRON
2018-01-29,8.392,8.4505,7.51,7.5358,7.5358,696277,0.0,1.0,CRON
2018-01-26,7.955,8.25,7.73,8.184,8.184,693729,0.0,1.0,CRON
2018-01-25,8.88,9.07,8.01,8.1953,8.1953,740987,0.0,1.0,CRON
2018-01-24,9.35,9.5183,8.63,8.7995,8.7995,837499,0.0,1.0,CRON
2018-01-23,9.21,9.59,8.8939,9.31,9.31,984981,0.0,1.0,CRON
2018-01-22,8.01,8.9887,8.01,8.9199,8.9199,903553,0.0,1.0,CRON
2018-01-19,8.005,8.2,7.724,7.96,7.96,609327,0.0,1.0,CRON
2018-01-18,8.0273,8.32,7.89,8.1,8.1,339497,0.0,1.0,CRON
2018-01-17,8.42,8.57,8.03,8.3666,8.3666,433628,0.0,1.0,CRON
2018-01-16,8.2799,8.6627,7.87,8.2485,8.2485,1669589,0.0,1.0,CRON
2018-01-12,8.555,8.56,7.051,7.18,7.18,2385708,0.0,1.0,CRON
2018-01-11,10.095,10.3005,8.5115,8.89,8.89,1868669,0.0,1.0,CRON
2018-01-10,11.15,11.222,10.3,10.65,10.65,618881,0.0,1.0,CRON
2018-01-09,10.8173,11.9,9.93,10.967,10.967,2045123,0.0,1.0,CRON
2018-01-08,9.04,11.0783,8.842,10.95,10.95,2104036,0.0,1.0,CRON
2018-01-05,7.3414,8.5065,7.06,8.48,8.48,1189225,0.0,1.0,CRON
2018-01-04,8.7,8.7,7.2727,7.7489,7.7489,1910612,0.0,1.0,CRON
2018-01-03,8.5,8.91,7.5896,8.5974,8.5974,1503683,0.0,1.0,CRON
2018-01-02,7.7411,8.246,7.09,8.0564,8.0564,1401112,0.0,1.0,CRON
2017-12-29,7.26,8.3012,6.0,7.7292,7.7292,2088811,0.0,1.0,CRON
2017-12-28,5.8,7.219,5.68,7.0,7.0,1773632,0.0,1.0,CRON
2017-12-27,4.828,5.98,4.828,5.5381,5.5381,913671,0.0,1.0,CRON
2017-12-26,4.7,5.38,4.63,5.23,5.23,594582,0.0,1.0,CRON
2017-12-22,4.3074,4.6,4.26,4.5338,4.5338,522429,0.0,1.0,CRON
2017-12-21,4.183,4.33,4.1,4.3,4.3,429139,0.0,1.0,CRON
2017-12-20,4.208,4.32,3.951,4.08,4.08,391115,0.0,1.0,CRON
2017-12-19,3.92,4.1813,3.92,4.152,4.152,403934,0.0,1.0,CRON
2017-12-18,3.856,4.0073,3.75,4.0073,4.0073,305042,0.0,1.0,CRON
2017-12-15,3.905,3.96,3.6796,3.75,3.75,206115,0.0,1.0,CRON
2017-12-14,3.8284,3.985,3.7,3.7196,3.7196,235376,0.0,1.0,CRON
2017-12-13,3.98,4.1141,3.77,3.8566,3.8566,397393,0.0,1.0,CRON
2017-12-12,3.69,3.9516,3.609,3.92,3.92,516796,0.0,1.0,CRON
2017-12-11,3.5412,3.75,3.51,3.6,3.6,255575,0.0,1.0,CRON
2017-12-08,3.4201,3.52,3.3285,3.4885,3.4885,237599,0.0,1.0,CRON
2017-12-07,3.3098,3.44,3.3098,3.41,3.41,161579,0.0,1.0,CRON
2017-12-06,3.3582,3.45,3.2,3.32,3.32,209972,0.0,1.0,CRON
2017-12-05,3.3927,3.4,3.2,3.2853,3.2853,301819,0.0,1.0,CRON
2017-12-04,3.377,3.52,3.1842,3.2492,3.2492,282204,0.0,1.0,CRON
2017-12-01,3.4677,3.55,3.25,3.3092,3.3092,215479,0.0,1.0,CRON
2017-11-30,3.13,3.3655,2.985,3.3063,3.3063,339911,0.0,1.0,CRON
2017-11-29,3.58,3.82,3.0929,3.1319,3.1319,557783,0.0,1.0,CRON
